nombre,apellido,telefono,email 
Luis,Hernandez,(123) 456-7890,luis.hernandez@test.com
Ana,Guerrero,(234) 567-8901,ana.guerrero@test.com
Carlos,Martinez,(345) 678-9012,carlos.martinez@test.com
Sofia,Lopez,(456) 789-0123,sofia.lopez@test.com
Diego,Ramirez,(567) 890-1234,diego.ramirez@test.com
Maria,Gonzalez,(678) 901-2345,maria.gonzalez@test.com
Javier,Chavez,(789) 012-3456,javier.chavez@test.com
Elena,Morales,(890) 123-4567,elena.morales@test.com
Miguel,Rodriguez,(901) 234-5678,miguel.rodriguez@test.com
Isabella,Perez,(012) 345-6789,isabella.perez@test.com
